Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
05/06/2017,0,0,0,0,0
04/06/2017,0,0,0,0,0
03/06/2017,0,0,0,0,0
02/06/2017,0,0,0,0,0
01/06/2017,-4,-2,-5,6,0
31/05/2017,-4,-1,-5,18,1
30/05/2017,-1,4,-5,25,2
29/05/2017,-4,-2,-5,24,2
28/05/2017,-2,2,-5,4,3
27/05/2017,-5,-4,-5,8,6
26/05/2017,-3,2,-5,27,7
25/05/2017,-4,-1,-5,103,10
24/05/2017,-4,-1,-5,71,9
23/05/2017,-2,2,-5,38,5
22/05/2017,-1,4,-5,37,5
21/05/2017,-5,-5,-5,8,2
20/05/2017,1,5,-4,3,6
19/05/2017,-1,4,-5,34,6
16/05/2017,0,0,0,0,0
15/05/2017,-1,4,-5,74,10
14/05/2017,5,5,5,1,4
13/05/2017,0,0,0,0,0
12/05/2017,1,5,-3,30,6
11/05/2017,-2,3,-5,25,3
10/05/2017,-2,1,-5,9,1
09/05/2017,-2,2,-5,29,4
08/05/2017,-2,2,-5,71,10
07/05/2017,4,5,3,2,3
06/05/2017,0,0,0,0,0
05/05/2017,-1,3,-4,12,7
04/05/2017,-3,1,-5,53,10
03/05/2017,-4,-2,-5,36,7
02/05/2017,-3,2,-5,12,2
01/05/2017,-1,4,-5,27,5
30/04/2017,-4,-1,-5,7,1
29/04/2017,0,0,0,0,0
28/04/2017,0,0,0,0,0
27/04/2017,-3,2,-5,34,6
26/04/2017,5,5,5,1,0
25/04/2017,0,0,0,0,0
24/04/2017,2,5,-2,18,3
23/04/2017,-2,4,-5,3,7
21/04/2017,-3,1,-5,23,8
20/04/2017,-2,3,-5,39,7
19/04/2017,-3,1,-5,29,5
18/04/2017,-3,1,-5,7,1
17/04/2017,0,0,0,0,0
16/04/2017,-1,4,-4,4,7
15/04/2017,-1,5,-5,6,9
14/04/2017,-5,-5,-5,6,9
13/04/2017,-3,2,-5,7,48
12/04/2017,-2,3,-5,4,31
11/04/2017,-2,3,-5,7,51
10/04/2017,-1,3,-4,3,22
09/04/2017,3,5,-2,7,2
08/04/2017,-2,1,-4,7,11
07/04/2017,-3,1,-5,5,38
06/04/2017,0,0,0,0,0
05/04/2017,-5,-4,-5,4,28
04/04/2017,-1,4,-5,1,12
03/04/2017,0,0,0,0,0
02/04/2017,0,0,0,0,0
01/04/2017,4,5,2,4,5
31/03/2017,-1,4,-5,3,19
30/03/2017,-2,2,-4,1,11
29/03/2017,-3,-1,-5,4,32
28/03/2017,-1,4,-5,4,29
27/03/2017,-2,3,-5,4,34
26/03/2017,0,0,0,0,0
25/03/2017,-1,5,-5,6,7
24/03/2017,-2,2,-5,6,30
23/03/2017,-1,3,-5,4,33
22/03/2017,-1,5,-5,0,2
21/03/2017,-3,-3,-3,0,2
20/03/2017,-5,-5,-5,0,2
19/03/2017,1,4,-2,6,9
18/03/2017,4,5,-1,5,16
17/03/2017,-2,2,-5,4,19
16/03/2017,-2,2,-5,4,41
15/03/2017,-2,2,-5,7,68
14/03/2017,-2,2,-5,4,45
13/03/2017,-4,-2,-5,4,39
12/03/2017,0,0,0,0,0
11/03/2017,0,0,0,0,0
10/03/2017,-3,-1,-5,6,63
09/03/2017,0,0,0,0,0
08/03/2017,-3,1,-5,3,29
